id,block_height,sequence,memo,time_stamp,sender,receiver,chain,tx_hash,amount,denom,effected
9F7D9B4668030A3AD5C43B48BB19A5DBB1FC19BC580E1BED96303C43E2288E58-1,13835155,107529,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 17:41:12 GMT+0000 (GMT),terra1gqen4nmatzkgemacvzvhcrmdm9dxp955ent90w,axelar1t5ha66sv755c3jgqlgl9qemmn63uvwlm8sn8p6,axelar-dojo-1,9F7D9B4668030A3AD5C43B48BB19A5DBB1FC19BC580E1BED96303C43E2288E58,336000,transfer/channel-6/uusdc,0
9F9366DE3DB164A0B9F7E7EAF8C27D8D1F6A1A104F7E5B75E0906C52C17EEB2E-1,13877722,108232,Relayed with 💜 by Lavender.Five Nodes 🐝 | rly(2.5.2),Sun Aug 04 2024 15:09:59 GMT+0000 (GMT),terra1gqen4nmatzkgemacvzvhcrmdm9dxp955ent90w,axelar1t5ha66sv755c3jgqlgl9qemmn63uvwlm8sn8p6,axelar-dojo-1,9F9366DE3DB164A0B9F7E7EAF8C27D8D1F6A1A104F7E5B75E0906C52C17EEB2E,471967871,transfer/channel-6/uusdc,0
9F9F875CB96B43F6CBCDA5EF7763816B1E63FAB6FF75735FEA8C756FC5873BC9-1,13716534,1307705,Relayed by Validatrium.com | hermes 1.10.1+7a67ac5 (https://hermes.informal.systems),Wed Jul 24 2024 15:22:39 GMT+0000 (GMT),osmo1z24llw8lyafczgpza7qzdpmx273c4zxwjgl6qpu8ly34g3g9jd2q6vnd3t,axelar1dv4u5k73pzqrxlzujxg3qp8kvc3pje7jtdvu72npnt5zhq05ejcsn5qme5,axelar-dojo-1,9F9F875CB96B43F6CBCDA5EF7763816B1E63FAB6FF75735FEA8C756FC5873BC9,48043365537291401467,transfer/channel-208/arb-wei,0
9FA2AA594424E1168A0B147D531138BAD30CAC72155D66B529FC043241B684CF-1,13816945,105486,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 11:57:05 GMT+0000 (GMT),terra1k878r48skgw4gnrx4psedyhpwq04srtymrduzv,axelar1dv4u5k73pzqrxlzujxg3qp8kvc3pje7jtdvu72npnt5zhq05ejcsn5qme5,axelar-dojo-1,9FA2AA594424E1168A0B147D531138BAD30CAC72155D66B529FC043241B684CF,10000000,transfer/channel-6/uusdc,0
9FAE36B0005ACB3F5FE438E57979CABA8C81F4C2D3F8A580DE7CDB5DA7A4409B-1,13815818,105347,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 10:06:51 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,9FAE36B0005ACB3F5FE438E57979CABA8C81F4C2D3F8A580DE7CDB5DA7A4409B,5000000,transfer/channel-6/uusdc,0
9FB97C6FB5F4849C58ACDAA9F3575B315BF08EE2C94AAFF1D1B0CC5C223639EB-1,13817284,105549,rly(),Wed Jul 31 2024 12:30:19 GMT+0000 (GMT),terra1tyvr2gfjhavcwx7gncrq9q74pn272lzftuc74z,axelar1yqd2exart78vkjzsg6glfxqh0dz3lq3rc6xkyl,axelar-dojo-1,9FB97C6FB5F4849C58ACDAA9F3575B315BF08EE2C94AAFF1D1B0CC5C223639EB,4106367,transfer/channel-6/uusdc,0
9FD409875DA1BE6E504DC68FD200F9C7E5640DD4CA755E07A7DDC3384F5E0416-1,13814321,104744,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 07:39:59 GMT+0000 (GMT),terra1h766y4nusclkr7sua5czdrm7nru44e6rga06xt,axelar16ksgchg343ce7ff7hw4grvdqh5k6pzfvhuq2ds,axelar-dojo-1,9FD409875DA1BE6E504DC68FD200F9C7E5640DD4CA755E07A7DDC3384F5E0416,2734010939,transfer/channel-6/uusdc,0
9FDECD886FCD154F8E2FBA47971D299F9BE5E95DF60779381A23071EAC5E8508-1,13815862,105355,rly(),Wed Jul 31 2024 10:11:10 GMT+0000 (GMT),terra17j647jarlmdvq7685pfm6ey8cqw28n6706qfh9,axelar1cy5mg3rmu70yu62acfc50fec45g7k79zd34cyz,axelar-dojo-1,9FDECD886FCD154F8E2FBA47971D299F9BE5E95DF60779381A23071EAC5E8508,2490337765,transfer/channel-6/uusdt,0
9FE5BC0D2032BFEF0AE30095003B121616C7806BA49478D8EE9FFDE45ED4E8F2-1,13833017,107429,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 14:11:22 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,9FE5BC0D2032BFEF0AE30095003B121616C7806BA49478D8EE9FFDE45ED4E8F2,20000000,transfer/channel-6/uusdc,0
9FEDACE6C49EDFC1EC7C5269CBF7CE5FC0076695BCA3FC07939F26BD5B9795DC-1,13815840,105352,rly(),Wed Jul 31 2024 10:08:59 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,9FEDACE6C49EDFC1EC7C5269CBF7CE5FC0076695BCA3FC07939F26BD5B9795DC,4000000,transfer/channel-6/uusdc,0
9FEF7E34D4767AF816BB06BE34D3856A16ACB3892C07B3E038310D648E9B9F35-1,13833752,107461,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 15:23:32 GMT+0000 (GMT),terra1azhkm0uxu3gn9y4tw46lr9kqf550ldhv0ja3yn,axelar1rfxncp207da22dtdw8l7lhlvs8rtp07wu4qskj,axelar-dojo-1,9FEF7E34D4767AF816BB06BE34D3856A16ACB3892C07B3E038310D648E9B9F35,1000000,transfer/channel-6/uusdc,0
9FF180DA3C054A697678898672057338F2402430C9FDE43F63E7EB33093B4026-1,13813292,104287,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 05:58:48 GMT+0000 (GMT),terra1amwqv78sl0udfv73tptau9q87cyhx55rrvckwk,axelar1cc46xjyy9hkfrz02ztwzrrf48n2nakvhenc9034cqgthte4gr77szjdpcy,axelar-dojo-1,9FF180DA3C054A697678898672057338F2402430C9FDE43F63E7EB33093B4026,1000000000,transfer/channel-6/uusdc,0
9FFCA2BAF3C8E0B658BFD21074582975D338B15EB0C0B8A819BF23C9FA80FF2E-1,13819641,106193,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 16:20:55 GMT+0000 (GMT),terra1k878r48skgw4gnrx4psedyhpwq04srtymrduzv,axelar16sfr8aj0ztd3ph3x086ueyvpel7ul3t9hwrlml,axelar-dojo-1,9FFCA2BAF3C8E0B658BFD21074582975D338B15EB0C0B8A819BF23C9FA80FF2E,55000000,transfer/channel-6/uusdc,0
A0021072F133E16F586875B90469DD408EA4B73D26E17605612E0B70D21E75E1-1,13812952,104136,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 05:25:20 GMT+0000 (GMT),terra1n3ayt8z0a07qwnf6ml9rapkh0754hmdhasuwkw,axelar1e7qywrkqam9rxy5fjg9l5vtnxt5vc6r4dg8583,axelar-dojo-1,A0021072F133E16F586875B90469DD408EA4B73D26E17605612E0B70D21E75E1,98023564,transfer/channel-6/uusdc,0
A00558CE4EB0A9AAE9C24E4053D01E1CF47D463D874AA424DE1FB3A523DB23DD-1,13839021,107664,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Fri Aug 02 2024 00:00:11 GMT+0000 (GMT),terra1qx0ufgm40wvfvws9v9cwck0rn5ayusey83sm3z,axelar1p5x00w0gpr6aq229a25mjnky88t7ukyrde779m,axelar-dojo-1,A00558CE4EB0A9AAE9C24E4053D01E1CF47D463D874AA424DE1FB3A523DB23DD,1870481,transfer/channel-6/uusdc,0
